P2_cm KV1/OR-4 11
P2_cm LV3-19 11
P3_cm KV3-7 11
P0_Ab HV1/OR15-5 12
P0_Ab KV1/OR-3 12
P0_Ab LV5-48 12
P2_wt LV10-54 12
P2_wt LV4-3 12
P3_cm LV3-16 12
P3_wt KV1/OR-2 12
P0_Ab HV3-35 13
P0_Ab LV1-41 13
P0_Ab LV2-34 13
P0_Ab LV5-45 13
P2_cm HV3/OR15-7 13
P2_cm LV4-3 13
P3_cm HV3-19 13
P0_Ab KV1/OR-4 14
P2_wt LV5-45 14
P3_cm KV2D-24 14
P3_wt KV1/OR-4 14
P3_wt KV1D-16 14
P3_wt KV2D-24 14
P0_Ab HV3/OR15-7 15
P2_wt KV1/OR-4 15
P2_cm KV1D-8 16
P2_cm KV2/OR22-4 16
P2_cm LV3-10 16
P2_cm LV3-16 16
P2_wt HV3/OR16-18 16
P2_cm HV1-38-4 17
P3_cm LV5-45 17
P0_Ab KV1/OR-2 18
P2_cm KV2D-18 18
P2_wt HV1/OR15-5 18
P2_wt KV1/OR1-1 18
P3_cm KV2D-30 18
P3_wt KV3/OR2-268 18
P2_cm HV3/OR16-18 19
P2_wt HV3-71 19
P0_Ab HV3/OR16-15 20
P2_cm HV3-19 20
P2_wt HV1-38-4 20
P3_cm KV1D-16 20
P3_wt KV2D-30 20
P0_Ab KV1D-8 21
P0_Ab KV3-7 21
P3_cm LV3-13 21
P3_cm LV5-52 21
P3_wt HV4-28 21
P3_cm LV3-1 22
P3_wt KV2D-26 22
P0_Ab HV3-22 23
P2_cm HV3-30-5 23
P3_cm HV4-55 23
P0_Ab HV3-16 24
P2_cm HV3-71 24
P2_wt HV3/OR16-15 24
P2_wt KV1/OR-2 24
P3_wt KV1/OR-3 24
P2_cm LV3-13 25
P3_cm LV5-39 25
P2_cm HV3-22 26
P3_cm HV4-28 26
P2_cm HV1/OR15-5 28
P3_cm HV3-43D 29
P0_Ab HV1/OR15-2 30
P2_cm HV3-16 30
P3_wt LV3-25 30
P2_cm KV1/OR2-0 31
P2_cm LV5-45 31
P2_wt KV1/OR-3 31
P3_cm HV4/OR15-8 31
P3_cm KV1/OR1-1 32
P0_Ab LV5-37 33
P3_wt LV5-52 34
P0_Ab LV4-3 35
P3_cm KV3D-15 35
P0_Ab KV2-18 36
P2_cm HV3/OR16-6 36
P2_wt HV3-22 36
P3_cm LV1-41 36
P3_cm LV3-25 36
P3_cm LV3-9 37
P0_Ab HV4-55 38
P2_wt HV3-35 38
P3_wt LV5-39 38
P2_cm KV1/OR-3 39
P0_Ab HV1-38-4 40
P0_Ab LV3-10 40
P3_cm HV3-30-3 40
P2_cm KV3-7 41
P2_wt LV3-25 41
P3_wt LV3-9 41
