	Count
P0_Ab:IGHV1-58:IGLV1-36	2
P0_Ab:IGHV1-69:IGLV2-18	3
P0_Ab:IGHV4-38-2:IGLV1-41	1
P0_Ab:IGHV1-18:IGKV2-24	4
P0_Ab:IGHV3-9:IGKV1-37	3
P0_Ab:IGHV3/OR15-7:IGKV1-39	1
P0_Ab:IGHV3-69-1:IGLV1-40	1
P0_Ab:IGHV3-43D:IGKV1-5	3
P0_Ab:IGHV4-28:IGKV3-15	2
P0_Ab:IGHV3-15:IGKV2D-30	1
P0_Ab:IGHV4-39:IGLV5-45	2
P0_Ab:IGHV3-72:IGLV3-25	1
P0_Ab:IGHV3-16:IGLV2-8	1
P0_Ab:IGHV3/OR16-12:IGLV1-44	1
P0_Ab:IGHV3/OR16-12:IGLV2-11	1
P0_Ab:IGHV7-4-1:IGLV4-60	3
P0_Ab:IGHV3-53:IGLV3-27	2
P0_Ab:IGHV3-7:IGKV3D-11	3
P0_Ab:IGHV4/OR15-8:IGKV3-20	3
P0_Ab:IGHV3-43:IGLV2-5	2
P0_Ab:IGHV3-13:IGKV1-37	1
P0_Ab:IGHV3-20:IGKV2-40	2
P0_Ab:IGHV3-7:IGKV1-37	5
P0_Ab:IGHV4-34:IGLV2-5	2
P0_Ab:IGHV3-43:IGLV5-37	1
P0_Ab:IGHV5-10-1:IGKV1-8	1
P0_Ab:IGHV3-43:IGKV3D-15	1
P0_Ab:IGHV7-4-1:IGKV1-37	4
P0_Ab:IGHV4-61:IGLV3-25	2
P0_Ab:IGHV3-30-3:IGKV1-9	4
P0_Ab:IGHV3-23:IGLV5-52	2
P0_Ab:IGHV4-59:IGLV5-37	1
P0_Ab:IGHV4-38-2:IGKV1-NL1	2
P0_Ab:IGHV1-2:IGLV3-9	2
P0_Ab:IGHV3-22:IGLV2-23	3
P0_Ab:IGHV3-43:IGKV1-13	3
P0_Ab:IGHV4-34:IGLV5-52	1
P0_Ab:IGHV4-55:IGLV2-14	1
P0_Ab:IGHV3-30-3:IGLV7-43	1
P0_Ab:IGHV4-30-4:IGKV1D-8	1
P0_Ab:IGHV1-3:IGLV3-10	1
P0_Ab:IGHV3-74:IGLV5-39	2
P0_Ab:IGHV3-30:IGLV2-18	3
P0_Ab:IGHV3-9:IGLV2-5	1
P0_Ab:IGHV4/OR15-8:IGLV3-21	2
P0_Ab:IGHV1-18:IGKV3/OR2-268	1
P0_Ab:IGHV4-31:IGKV2D-29	1
P0_Ab:IGHV1-8:IGKV1D-13	8
P0_Ab:IGHV4-34:IGKV2-40	3
P0_Ab:IGHV3-73:IGKV1-13	4
P0_Ab:IGHV3-16:IGLV2-23	1
P0_Ab:IGHV1-2:IGKV1-8	6
P0_Ab:IGHV1-46:IGKV2-24	2
P0_Ab:IGHV3-7:IGKV1D-16	2
P0_Ab:IGHV4-30-4:IGKV3D-11	2
P0_Ab:IGHV3-7:IGKV2D-30	1
P0_Ab:IGHV3-30-3:IGLV3-27	2
P0_Ab:IGHV4-28:IGKV1D-12	3
P0_Ab:IGHV3-73:IGLV9-49	2
P0_Ab:IGHV3-NL1:IGKV3-11	1
P0_Ab:IGHV3-64:IGLV6-57	9
P0_Ab:IGHV3/OR16-15:IGLV2-14	1
P0_Ab:IGHV3-13:IGKV1-16	1
P0_Ab:IGHV3-9:IGKV2-40	2
P0_Ab:IGHV4-59:IGKV3/OR2-268	3
P0_Ab:IGHV4-30-2:IGKV2D-30	1
P0_Ab:IGHV4-34:IGLV9-49	2
P0_Ab:IGHV3-33:IGKV1D-16	1
P0_Ab:IGHV3-30-3:IGLV2-18	2
P0_Ab:IGHV3-7:IGLV3-27	3
P0_Ab:IGHV1/OR15-5:IGKV4-1	1
P0_Ab:IGHV1-69:IGLV1-50	2
P0_Ab:IGHV3-7:IGLV5-39	2
P0_Ab:IGHV1-8:IGKV3/OR2-268	2
P0_Ab:IGHV4-30-4:IGLV5-37	1
P0_Ab:IGHV5-10-1:IGKV3D-20	1
P0_Ab:IGHV1/OR15-5:IGLV2-23	1
P0_Ab:IGHV3-30:IGKV1D-16	2
P0_Ab:IGHV4/OR15-8:IGLV2-23	7
P0_Ab:IGHV4/OR15-8:IGLV2-11	1
P0_Ab:IGHV1-2:IGKV2-24	1
P0_Ab:IGHV1/OR15-2:IGLV1-40	1
P0_Ab:IGHV1-2:IGKV2-40	6
P0_Ab:IGHV3-53:IGKV3D-15	2
P0_Ab:IGHV3-74:IGLV3-27	4
P0_Ab:IGHV3-30-3:IGLV1-36	2
P0_Ab:IGHV4-4:IGKV1D-16	2
P0_Ab:IGHV3-15:IGLV4-60	4
P0_Ab:IGHV4-30-4:IGKV1D-16	7
P0_Ab:IGHV3-43:IGLV5-48	1
P0_Ab:IGHV1-3:IGLV3-25	1
P0_Ab:IGHV3-23:IGKV1/OR-2	1
P0_Ab:IGHV3-66:IGLV1-50	1
P0_Ab:IGHV1-69:IGLV4-60	1
P0_Ab:IGHV3-74:IGKV3/OR2-268	1
P0_Ab:IGHV1-69:IGKV3D-15	1
P0_Ab:IGHV3-49:IGLV2-5	1
P0_Ab:IGHV3-43D:IGLV1-44	4
P0_Ab:IGHV3-72:IGKV1-13	1
P0_Ab:IGHV1-46:IGKV1-37	2
P0_Ab:IGHV5-51:IGKV2D-30	4
P0_Ab:IGHV3-73:IGLV1-36	4
P0_Ab:IGHV3-30:IGLV2-5	1
P0_Ab:IGHV4-34:IGKV2-24	1
P0_Ab:IGHV5-51:IGLV3-10	4
P0_Ab:IGHV3-64D:IGLV2-11	3
P0_Ab:IGHV1-3:IGKV3D-11	1
P0_Ab:IGHV1-2:IGLV4-60	1
P0_Ab:IGHV4-59:IGLV3-9	4
P0_Ab:IGHV7-4-1:IGLV3-9	2
P0_Ab:IGHV3-49:IGKV1-37	1
P0_Ab:IGHV3-64D:IGKV3D-15	1
P0_Ab:IGHV3-9:IGLV4-60	2
P0_Ab:IGHV3-13:IGLV3-27	2
P0_Ab:IGHV4-38-2:IGKV1D-12	13
P0_Ab:IGHV3-20:IGKV1-33	5
P0_Ab:IGHV5-10-1:IGLV7-43	4
P0_Ab:IGHV3-43:IGKV1D-16	1
P0_Ab:IGHV4-38-2:IGLV2-5	2
P0_Ab:IGHV3-66:IGKV3D-11	1
P0_Ab:IGHV5-10-1:IGKV1D-16	1
P0_Ab:IGHV4/OR15-8:IGKV4-1	2
P0_Ab:IGHV3-66:IGKV3D-15	3
P0_Ab:IGHV4-30-4:IGLV3-25	5
P0_Ab:IGHV4-4:IGLV3-10	1
P0_Ab:IGHV3-53:IGLV3-25	1
P0_Ab:IGHV4-30-4:IGKV1-37	5
P0_Ab:IGHV3-72:IGKV1D-13	4
P0_Ab:IGHV4-4:IGKV1/OR-3	1
P0_Ab:IGHV1/OR15-3:IGLV2-14	2
P0_Ab:IGHV3-16:IGLV1-51	2
P0_Ab:IGHV3-11:IGKV2-40	1
P0_Ab:IGHV4-34:IGKV3/OR2-268	1
P0_Ab:IGHV3-72:IGKV2-40	1
P0_Ab:IGHV6-1:IGLV1-44	1
P0_Ab:IGHV4-38-2:IGLV3-25	3
P0_Ab:IGHV3-30:IGKV1-8	2
P0_Ab:IGHV4-30-4:IGKV1/OR9-1	1
P0_Ab:IGHV1-18:IGKV1D-43	1
P0_Ab:IGHV3-30-5:IGKV2D-29	1
P0_Ab:IGHV3-69-1:IGLV6-57	1
P0_Ab:IGHV3-11:IGKV3D-20	2
P0_Ab:IGHV3-38-3:IGLV2-23	1
P0_Ab:IGHV4-30-2:IGKV2-40	1
P0_Ab:IGHV4-4:IGKV2-24	2
P0_Ab:IGHV3-11:IGKV2D-29	1
P0_Ab:IGHV3-33:IGLV8-61	3
P0_Ab:IGHV3-43:IGKV3D-20	1
P0_Ab:IGHV1-8:IGKV3D-11	2
P0_Ab:IGHV3-64:IGLV3-12	1
P0_Ab:IGHV3-30:IGKV2-40	4
P0_Ab:IGHV7-4-1:IGLV5-39	1
P0_Ab:IGHV1/OR15-5:IGKV1-5	1
P0_Ab:IGHV4-4:IGKV1-16	3
P0_Ab:IGHV1-2:IGKV1D-39	1
P0_Ab:IGHV4-30-4:IGLV3-12	5
P0_Ab:IGHV3-15:IGKV1D-16	2
P0_Ab:IGHV4-59:IGLV5-39	3
P0_Ab:IGHV3-43D:IGLV1-40	2
P0_Ab:IGHV3-13:IGKV1-8	3
P0_Ab:IGHV3-30-5:IGLV1-44	2
P0_Ab:IGHV3-48:IGLV2-5	2
P0_Ab:IGHV3-64:IGKV3D-20	1
P0_Ab:IGHV7-4-1:IGLV2-5	1
P0_Ab:IGHV3-73:IGKV1D-13	2
P0_Ab:IGHV5-10-1:IGLV1-50	3
P0_Ab:IGHV4-38-2:IGLV9-49	1
P0_Ab:IGHV3-43:IGLV1-36	3
P0_Ab:IGHV5-10-1:IGKV2-24	1
P0_Ab:IGHV3-43D:IGKV1D-13	1
P0_Ab:IGHV3-11:IGLV3-1	1
P0_Ab:IGHV3-21:IGKV1D-13	3
P0_Ab:IGHV3-71:IGKV1-5	1
P0_Ab:IGHV3-48:IGLV3-9	3
P0_Ab:IGHV4-61:IGLV3-13	1
P0_Ab:IGHV1-18:IGLV4-69	1
P0_Ab:IGHV1-18:IGKV1/OR-2	1
P0_Ab:IGHV4-30-2:IGKV2-29	4
P0_Ab:IGHV3-21:IGLV2-5	1
P0_Ab:IGHV3-20:IGLV9-49	1
P0_Ab:IGHV4-4:IGLV1-50	4
P0_Ab:IGHV3-72:IGLV1-36	2
P0_Ab:IGHV4/OR15-8:IGLV7-46	1
P0_Ab:IGHV1-8:IGLV3-22	1
P0_Ab:IGHV3-9:IGLV3-25	1
P0_Ab:IGHV3-69-1:IGKV1-6	1
P0_Ab:IGHV3-20:IGLV3-27	2
P0_Ab:IGHV4-38-2:IGLV7-43	2
P0_Ab:IGHV4-30-4:IGLV5-39	1
P0_Ab:IGHV3-33:IGKV2-29	4
P0_Ab:IGHV4-61:IGKV5-2	1
P0_Ab:IGHV5-10-1:IGLV3-9	1
P0_Ab:IGHV5-10-1:IGLV3-25	1
P0_Ab:IGHV4-30-4:IGLV3-10	1
P0_Ab:IGHV1-2:IGKV3D-11	1
P0_Ab:IGHV1-3:IGLV5-37	1
P0_Ab:IGHV3-7:IGKV3/OR2-268	2
P0_Ab:IGHV3-19:IGLV8-61	1
P0_Ab:IGHV4-30-2:IGLV3-9	1
P0_Ab:IGHV3-7:IGKV3-7	2
P0_Ab:IGHV3-16:IGKV1-5	1
P0_Ab:IGHV4-28:IGLV3-21	2
P0_Ab:IGHV3-64D:IGLV3-9	1
P0_Ab:IGHV3-48:IGKV1D-13	4
P0_Ab:IGHV4-39:IGKV3-7	1
P0_Ab:IGHV4-30-2:IGKV3D-11	1
P0_Ab:IGHV4/OR15-8:IGKV1-27	1
P0_Ab:IGHV4-31:IGKV1-NL1	1
P0_Ab:IGHV5-10-1:IGKV1D-13	1
P0_Ab:IGHV1-69:IGLV7-43	2
P0_Ab:IGHV4-4:IGKV3D-11	1
P0_Ab:IGHV1/OR15-9:IGLV2-14	1
P0_Ab:IGHV3-48:IGKV3D-11	2
P0_Ab:IGHV1-18:IGKV1D-16	2
P0_Ab:IGHV3-64:IGLV8-61	1
P0_Ab:IGHV3/OR16-13:IGLV1-44	1
P0_Ab:IGHV3-11:IGLV4-60	2
P0_Ab:IGHV7-4-1:IGKV2D-30	2
P0_Ab:IGHV3-74:IGKV1-37	2
P0_Ab:IGHV3-66:IGLV2-5	2
P0_Ab:IGHV3-13:IGLV3-1	1
P0_Ab:IGHV3-48:IGLV1-50	2
P0_Ab:IGHV4-28:IGLV1-51	3
P0_Ab:IGHV3-16:IGKV1-39	1
P0_Ab:IGHV3-30-3:IGKV1-13	1
P0_Ab:IGHV1-46:IGLV4-60	3
P0_Ab:IGHV3-21:IGKV3/OR2-268	1
P0_Ab:IGHV3-73:IGKV3D-20	2
P0_Ab:IGHV4-38-2:IGKV1D-16	1
P0_Ab:IGHV3-72:IGKV3/OR2-268	1
P0_Ab:IGHV1-18:IGKV2D-30	2
P0_Ab:IGHV4-31:IGKV1D-13	1
P0_Ab:IGHV3-53:IGKV1D-16	1
P0_Ab:IGHV3-9:IGLV3-12	1
P0_Ab:IGHV1-69:IGKV1-13	1
P0_Ab:IGHV3-69-1:IGLV1-47	2
P0_Ab:IGHV3-20:IGLV8-61	1
P0_Ab:IGHV3-64:IGKV1D-12	1
P0_Ab:IGHV5-10-1:IGLV3-19	1
P0_Ab:IGHV4-39:IGLV5-48	3
P0_Ab:IGHV3-7:IGLV5-52	1
P0_Ab:IGHV3-62:IGKV3-11	1
P0_Ab:IGHV3-43D:IGKV3-11	2
P0_Ab:IGHV5-51:IGKV1D-8	1
P0_Ab:IGHV3-35:IGKV3-11	1
P0_Ab:IGHV3-74:IGLV3-13	1
P0_Ab:IGHV3-43D:IGKV1-33	1
P0_Ab:IGHV3-49:IGLV9-49	1
P0_Ab:IGHV3-66:IGLV3-1	1
P0_Ab:IGHV5-51:IGKV1/OR-2	1
P0_Ab:IGHV4-59:IGLV5-52	2
P0_Ab:IGHV1-2:IGKV1-37	1
P0_Ab:IGHV3-53:IGLV4-60	1
P0_Ab:IGHV7-4-1:IGLV3-25	1
P0_Ab:IGHV3-7:IGKV2-18	2
P0_Ab:IGHV4-38-2:IGKV2-24	1
P0_Ab:IGHV3-49:IGLV3-1	1
P0_Ab:IGHV3-69-1:IGKV3D-15	1
P0_Ab:IGHV1-18:IGLV3-9	3
P0_Ab:IGHV3-11:IGLV3-9	1
P0_Ab:IGHV6-1:IGKV4-1	1
P0_Ab:IGHV1-8:IGKV2-24	1
P0_Ab:IGHV1-2:IGLV5-39	2
P0_Ab:IGHV3-53:IGLV3-9	1
P0_Ab:IGHV3-11:IGKV1-37	1
P0_Ab:IGHV3-16:IGLV2-14	1
P0_Ab:IGHV5-10-1:IGKV3D-15	1
P0_Ab:IGHV3-73:IGLV3-1	1
P0_Ab:IGHV3/OR16-6:IGKV3-11	1
P0_Ab:IGHV4-39:IGKV3/OR2-268	3
P0_Ab:IGHV1-18:IGLV5-39	1
P0_Ab:IGHV3-15:IGKV1D-8	1
P0_Ab:IGHV1-69:IGKV1D-16	1
P0_Ab:IGHV3/OR16-15:IGKV1-33	1
P0_Ab:IGHV3-30:IGLV3-12	1
P0_Ab:IGHV3-74:IGLV4-69	1
P0_Ab:IGHV3-64D:IGKV2-29	1
P0_Ab:IGHV4-28:IGLV7-46	3
P0_Ab:IGHV4-4:IGLV3-9	3
P0_Ab:IGHV4-4:IGKV1-37	1
P0_Ab:IGHV1-58:IGKV1-NL1	1
P0_Ab:IGHV3/OR16-13:IGLV2-14	1
P0_Ab:IGHV1-8:IGKV3-7	1
P0_Ab:IGHV4-30-2:IGKV2-24	1
P0_Ab:IGHV3-11:IGKV1-13	1
P0_Ab:IGHV4-55:IGLV1-47	1
P0_Ab:IGHV3-20:IGLV3-25	2
P0_Ab:IGHV3-21:IGKV1-37	1
P0_Ab:IGHV4-38-2:IGLV5-37	2
P0_Ab:IGHV3-9:IGLV9-49	2
P0_Ab:IGHV3-49:IGKV2-29	1
P0_Ab:IGHV3-53:IGKV1-8	2
P0_Ab:IGHV5-10-1:IGLV3-1	1
P0_Ab:IGHV3-49:IGLV5-45	1
P0_Ab:IGHV3-23:IGLV5-37	1
P0_Ab:IGHV1/OR15-2:IGLV2-23	1
P0_Ab:IGHV4-28:IGKV1-17	1
P0_Ab:IGHV3-9:IGKV1D-16	1
P0_Ab:IGHV3-21:IGLV2-34	1
P0_Ab:IGHV4-34:IGLV3-9	1
P0_Ab:IGHV3-43D:IGLV1-36	1
P0_Ab:IGHV3-74:IGLV3-1	3
P0_Ab:IGHV3-23:IGKV2-18	2
P0_Ab:IGHV3-20:IGKV1-13	1
P0_Ab:IGHV4-55:IGLV2-18	1
P0_Ab:IGHV4/OR15-8:IGLV2-18	1
P0_Ab:IGHV3-NL1:IGLV2-8	1
P0_Ab:IGHV3-72:IGLV4-69	2
P0_Ab:IGHV4-39:IGKV1/OR2-108	1
P0_Ab:IGHV4-61:IGKV1D-43	1
P0_Ab:IGHV4-39:IGKV1D-8	1
P0_Ab:IGHV3-49:IGKV3D-20	2
P0_Ab:IGHV3-23:IGLV1-41	1
P0_Ab:IGHV4-61:IGLV5-45	1
P0_Ab:IGHV3-16:IGLV7-46	2
P0_Ab:IGHV3-69-1:IGKV1-33	2
P0_Ab:IGHV4/OR15-8:IGKV1-6	1
P0_Ab:IGHV1-69:IGKV1D-13	3
P0_Ab:IGHV3-30:IGLV3-22	1
P0_Ab:IGHV3-15:IGLV3-25	1
P0_Ab:IGHV5-51:IGLV5-48	1
P0_Ab:IGHV3-21:IGKV1/OR1-1	1
P0_Ab:IGHV3-30-5:IGLV2-23	1
P0_Ab:IGHV1-46:IGLV9-49	1
P0_Ab:IGHV1-18:IGLV5-37	1
P0_Ab:IGHV3-72:IGLV1-50	1
P0_Ab:IGHV3-48:IGLV3-12	1
P0_Ab:IGHV3-74:IGLV3-9	1
P0_Ab:IGHV1-18:IGLV2-5	1
P0_Ab:IGHV3-33:IGLV2-18	2
P0_Ab:IGHV3-66:IGKV1-13	1
P0_Ab:IGHV3-53:IGKV2D-30	2
P0_Ab:IGHV3-23:IGLV5-45	1
P0_Ab:IGHV3-30:IGKV3D-11	1
P0_Ab:IGHV3-73:IGLV1-50	1
P0_Ab:IGHV3-69-1:IGKV3-20	1
P0_Ab:IGHV3-30-3:IGLV1-50	1
P0_Ab:IGHV3-9:IGKV3/OR2-268	1
P0_Ab:IGHV4-59:IGKV2D-30	1
P0_Ab:IGHV3-30-3:IGKV2D-29	1
P0_Ab:IGHV4-34:IGLV3-25	2
P0_Ab:IGHV1-3:IGLV5-52	1
P0_Ab:IGHV3-13:IGKV1-13	1
P0_Ab:IGHV3-74:IGKV1D-8	1
P0_Ab:IGHV3/OR16-18:IGKV2-30	1
P0_Ab:IGHV3-74:IGKV2-18	1
P0_Ab:IGHV3-69-1:IGKV1-12	1
P0_Ab:IGHV3-33:IGKV1D-13	1
P0_Ab:IGHV3-15:IGLV2-5	1
P0_Ab:IGHV4-4:IGLV3-19	1
P0_Ab:IGHV3-69-1:IGLV2-8	3
P0_Ab:IGHV3-11:IGLV1-50	1
P0_Ab:IGHV3-7:IGLV5-48	1
P0_Ab:IGHV3-69-1:IGKV2-30	1
P0_Ab:IGHV4-4:IGKV3/OR2-268	1
P0_Ab:IGHV5-10-1:IGLV2-5	1
P0_Ab:IGHV1-8:IGLV5-52	1
P0_Ab:IGHV3-15:IGLV4-69	1
P0_Ab:IGHV3-20:IGLV3-22	1
P0_Ab:IGHV3-66:IGKV1-8	1
P0_Ab:IGHV3-64D:IGLV8-61	1
P0_Ab:IGHV3-23:IGLV3-22	1
P0_Ab:IGHV3-64D:IGKV1-8	1
P0_Ab:IGHV3-64:IGLV7-43	1
P0_Ab:IGHV3-74:IGLV9-49	2
P0_Ab:IGHV1-18:IGLV1-41	1
P0_Ab:IGHV1-38-4:IGKV4-1	1
P0_Ab:IGHV3-43D:IGKV1-13	1
P0_Ab:IGHV1-38-4:IGKV1-33	1
P0_Ab:IGHV4-39:IGLV5-39	1
P0_Ab:IGHV3-23:IGKV1D-43	2
P0_Ab:IGHV3-66:IGLV9-49	1
P0_Ab:IGHV4-38-2:IGLV1-50	1
P0_Ab:IGHV4-39:IGLV2-34	1
P0_Ab:IGHV1-58:IGKV1-16	1
P0_Ab:IGHV3-21:IGKV1D-16	1
P0_Ab:IGHV4-38-2:IGLV3-27	1
P0_Ab:IGHV3-11:IGKV1/OR-4	1
P0_Ab:IGHV4-39:IGKV1D-17	1
P0_Ab:IGHV3-30:IGLV4-69	1
P0_Ab:IGHV1-2:IGKV2D-30	1
P0_Ab:IGHV5-78:IGLV2-14	1
P0_Ab:IGHV1-69:IGLV3-25	1
P0_Ab:IGHV3-64:IGKV1-NL1	1
P0_Ab:IGHV3-15:IGLV3-1	1
P0_Ab:IGHV7-4-1:IGKV1-16	1
P0_Ab:IGHV1-18:IGLV3-10	1
P0_Ab:IGHV4-28:IGKV2-28	1
P0_Ab:IGHV1-8:IGLV5-48	1
P0_Ab:IGHV4-61:IGLV5-37	1
P0_Ab:IGHV3-NL1:IGKV1-27	1
P0_Ab:IGHV1-38-4:IGLV3-21	2
P2_cm:IGHV3-23:IGLV2-14	4472
P2_cm:IGHV3-23:IGLV2-23	1608
P2_cm:IGHV3-7:IGLV2-14	882
P2_cm:IGHV3-23:IGKV1-5	240
P2_cm:IGHV3-9:IGLV6-57	85
P2_cm:IGHV4-61:IGLV1-44	129
P2_cm:IGHV3-73:IGLV1-44	101
P2_cm:IGHV3-23:IGLV2-8	1874
P2_cm:IGHV5-51:IGKV1-12	235
P2_cm:IGHV3-7:IGKV1-5	68
P2_cm:IGHV3-23:IGLV1-47	246
P2_cm:IGHV5-51:IGKV2-28	198
P2_cm:IGHV3-48:IGLV2-14	391
P2_cm:IGHV5-51:IGLV2-23	892
P2_cm:IGHV4-61:IGLV2-14	640
P2_cm:IGHV3-73:IGLV2-14	433
P2_cm:IGHV3-15:IGLV2-14	1695
P2_cm:IGHV1-2:IGKV1-5	49
P2_cm:IGHV4-59:IGKV4-1	43
P2_cm:IGHV3/OR16-15:IGLV1-44	8
P2_cm:IGHV3-53:IGLV1-40	24
P2_cm:IGHV5-51:IGLV6-57	346
P2_cm:IGHV3-43:IGKV2-29	2
P2_cm:IGHV3-23:IGKV1-27	255
P2_cm:IGHV3-9:IGLV2-14	1053
P2_cm:IGHV3-23:IGKV1-39	1690
P2_cm:IGHV4-61:IGKV1-17	52
P2_cm:IGHV1-69:IGKV4-1	14
P2_cm:IGHV5-51:IGLV2-14	3403
P2_cm:IGHV1-8:IGKV2-30	109
P2_cm:IGHV4-61:IGKV3-20	43
P2_cm:IGHV1-8:IGKV1-39	451
P2_cm:IGHV1-18:IGLV2-14	692
P2_cm:IGHV3-7:IGKV1-39	365
P2_cm:IGHV1-46:IGKV1-6	14
P2_cm:IGHV5-51:IGKV1-6	140
P2_cm:IGHV4-4:IGLV1-44	135
P2_cm:IGHV3-23:IGKV2-40	6
P2_cm:IGHV1-2:IGKV1-39	399
P2_cm:IGHV5-51:IGKV1-39	1735
P2_cm:IGHV3-9:IGKV2D-29	14
P2_cm:IGHV3-23:IGKV1D-16	4
P2_cm:IGHV1-46:IGLV2-8	173
P2_cm:IGHV1-18:IGLV2-8	287
P2_cm:IGHV3-13:IGLV2-14	123
P2_cm:IGHV3-9:IGLV1-44	166
P2_cm:IGHV3-21:IGLV2-14	325
P2_cm:IGHV4-59:IGLV2-14	431
P2_cm:IGHV3-48:IGLV2-23	155
P2_cm:IGHV5-51:IGLV1-44	878
P2_cm:IGHV5-51:IGLV1-40	464
P2_cm:IGHV3-74:IGLV1-36	10
P2_cm:IGHV3-23:IGLV6-57	372
P2_cm:IGHV3-15:IGLV6-57	101
P2_cm:IGHV1-18:IGLV1-44	207
P2_cm:IGHV3-74:IGKV1-39	360
P2_cm:IGHV3-15:IGLV1-40	146
P2_cm:IGHV3-69-1:IGKV1-39	5
P2_cm:IGHV5-51:IGLV1-51	207
P2_cm:IGHV3-74:IGLV2-11	54
P2_cm:IGHV4-30-4:IGLV2-8	98
P2_cm:IGHV4-59:IGKV1-33	40
P2_cm:IGHV1-8:IGKV3-11	197
P2_cm:IGHV4-4:IGLV2-14	633
P2_cm:IGHV3-74:IGKV1-33	105
P2_cm:IGHV1-69:IGLV2-14	309
P2_cm:IGHV3-72:IGKV1-39	151
P2_cm:IGHV3-15:IGKV1-39	546
P2_cm:IGHV4-61:IGLV2-8	310
P2_cm:IGHV1-8:IGKV1-12	97
P2_cm:IGHV3-23:IGKV2-30	368
P2_cm:IGHV3-23:IGKV4-1	353
P2_cm:IGHV4-4:IGLV1-47	41
P2_cm:IGHV1-8:IGLV2-23	237
P2_cm:IGHV1-18:IGKV1-33	25
P2_cm:IGHV3-30-3:IGLV2-14	25
P2_cm:IGHV3-66:IGLV2-8	33
P2_cm:IGHV1-2:IGLV2-8	359
P2_cm:IGHV3-48:IGKV1-39	144
P2_cm:IGHV4-4:IGLV2-8	310
P2_cm:IGHV5-51:IGLV3-21	234
P2_cm:IGHV4-4:IGLV2-23	137
P2_cm:IGHV4-59:IGKV3-15	6
P2_cm:IGHV3-20:IGLV2-8	64
P2_cm:IGHV1-18:IGKV1-39	368
P2_cm:IGHV3-74:IGLV2-14	1056
P2_cm:IGHV3-7:IGLV1-47	63
P2_cm:IGHV3-7:IGLV1-40	95
P2_cm:IGHV3-23:IGLV1-44	973
P2_cm:IGHV3-72:IGLV2-11	56
P2_cm:IGHV4-30-4:IGLV2-11	14
P2_cm:IGHV3-53:IGLV2-8	77
P2_cm:IGHV5-10-1:IGLV2-14	156
P2_cm:IGHV3-9:IGKV1-39	404
P2_cm:IGHV4-34:IGLV2-23	79
P2_cm:IGHV7-4-1:IGKV1-39	106
P2_cm:IGHV3-23:IGLV3-21	295
P2_cm:IGHV3-73:IGLV1-40	85
P2_cm:IGHV1-8:IGLV1-44	279
P2_cm:IGHV1-8:IGLV2-14	1329
P2_cm:IGHV5-10-1:IGLV2-8	54
P2_cm:IGHV1-3:IGLV1-40	25
P2_cm:IGHV3-53:IGLV6-57	12
P2_cm:IGHV4-39:IGLV6-57	54
P2_cm:IGHV4-61:IGKV4-1	41
P2_cm:IGHV4-30-4:IGLV2-23	57
P2_cm:IGHV4-39:IGLV2-8	235
P2_cm:IGHV3-72:IGLV2-23	87
P2_cm:IGHV4-4:IGLV3-9	1
P2_cm:IGHV4-39:IGKV3-11	143
P2_cm:IGHV4-59:IGLV1-51	26
P2_cm:IGHV3-7:IGLV2-8	339
P2_cm:IGHV3-7:IGKV2-30	71
P2_cm:IGHV3-23:IGKV3-20	165
P2_cm:IGHV4-34:IGLV2-14	294
P2_cm:IGHV3-48:IGLV1-44	127
P2_cm:IGHV1-8:IGKV1-27	48
P2_cm:IGHV3-23:IGKV3-11	707
P2_cm:IGHV3-7:IGKV3-11	140
P2_cm:IGHV3-16:IGKV1-6	2
P2_cm:IGHV3-49:IGLV2-14	131
P2_cm:IGHV1-46:IGKV1-39	186
P2_cm:IGHV4-39:IGLV2-14	623
P2_cm:IGHV3-15:IGKV4-1	1020
P2_cm:IGHV3-43:IGLV2-14	144
P2_cm:IGHV3-9:IGLV7-46	15
P2_cm:IGHV4-4:IGKV1-39	257
P2_cm:IGHV3-15:IGKV1-5	117
P2_cm:IGHV3-74:IGKV3-11	128
P2_cm:IGHV3-13:IGLV1-44	16
P2_cm:IGHV3-23:IGKV1-17	295
P2_cm:IGHV3-15:IGKV1-27	78
P2_cm:IGHV1-2:IGKV3-11	125
P2_cm:IGHV3-9:IGLV1-47	55
P2_cm:IGHV5-51:IGLV2-8	1380
P2_cm:IGHV3-9:IGKV1-5	52
P2_cm:IGHV3-15:IGLV1-47	154
P2_cm:IGHV3-49:IGKV2-30	17
P2_cm:IGHV4-30-4:IGKV4-1	33
P2_cm:IGHV7-4-1:IGLV2-14	350
P2_cm:IGHV3-48:IGLV2-18	12
P2_cm:IGHV5-51:IGKV3-20	261
P2_cm:IGHV5-10-1:IGKV1-17	32
P2_cm:IGHV3-74:IGLV1-44	258
P2_cm:IGHV3-74:IGLV3-21	88
P2_cm:IGHV1-58:IGLV2-14	49
P2_cm:IGHV1-69:IGKV1-6	11
P2_cm:IGHV4-61:IGLV3-21	52
P2_cm:IGHV1-2:IGKV2-30	123
P2_cm:IGHV1-2:IGLV2-14	1056
P2_cm:IGHV1-2:IGLV1-40	182
P2_cm:IGHV3-21:IGKV3-20	20
P2_cm:IGHV1-46:IGLV3-21	44
P2_cm:IGHV3-73:IGKV3-20	14
P2_cm:IGHV1-46:IGLV6-57	44
