"P0_Ab","P3_cm","P3_wt","IGH","IGL","P0_Ab_Ratio","P3_cm_Ratio","P3_wt_Ratio","P3_cmR","P3_wtR"
1102,552,638,"IGHV3-74","IGLV2-14",0.00881367319027777,0.0044148344836963,0.0051026528996345,0.500907441016334,0.578947368421053
213,467,716,"IGHV3-73","IGLV2-14",0.000900596169295167,0.00197454653080208,0.00302735613716122,2.1924882629108,3.36150234741784
3329,509,650,"IGHV5-51","IGLV2-8",0.0231721238445261,0.00354298919701526,0.0045244459293908,0.152898768398919,0.195253829978973
1055,380,705,"IGHV3-7","IGLV2-14",0.00843777242807899,0.00303919765181992,0.00563851143298169,0.360189573459716,0.66824644549763
223,737,338,"IGHV1-69","IGLV2-14",0.000942877679590715,0.00311614730878187,0.00142911504798951,3.30493273542601,1.51569506726457
281,599,450,"IGHV1-8","IGKV4-1",0.00195595277870587,0.00416945094108475,0.00313230872034748,2.13167259786477,1.60142348754448
48,268,741,"IGHV3-15","IGLV1-51",0.0003838986507562,0.00214343413338879,0.00592643542104884,5.58333333333333,15.4375
3,106,899,"IGHV4-4","IGLV4-60",1.26844530886643e-05,0.000448184009132806,0.00380110777556974,35.3333333333333,299.666666666667
190,700,296,"IGHV3-9","IGLV2-23",0.00132253034859116,0.00487248023165163,0.00206036306938412,3.68421052631579,1.55789473684211
200,376,589,"IGHV3-15","IGLV1-44",0.00159957771148417,0.00300720609759024,0.00471075636032088,1.88,2.945
982,277,576,"IGHV1-8","IGKV1-39",0.00415204431102279,0.00117119783518667,0.00243541499302355,0.282077393075356,0.586558044806517
1475,511,338,"IGHV3-23","IGLV1-44",0.0102670119166945,0.00355691056910569,0.00235271188328322,0.346440677966102,0.229152542372881
206,120,715,"IGHV3-48","IGKV1-5",0.00164756504282869,0.000959746626890501,0.0057184903185559,0.58252427184466,3.47087378640777
596,696,135,"IGHV1-8","IGLV2-23",0.00251997801361465,0.00294279311657012,0.000570800388989895,1.16778523489933,0.226510067114094
259,352,445,"IGHV1-2","IGKV3-20",0.0018028176857111,0.00245016148791625,0.00309750529012139,1.35907335907336,1.71814671814672
183,343,451,"IGHV3-11","IGLV2-14",0.00146361360600801,0.00274327577519535,0.0036070477393968,1.87431693989071,2.46448087431694
1014,399,385,"IGHV4-61","IGLV2-8",0.00428734514396854,0.00168703226079236,0.00162783814637859,0.393491124260355,0.379684418145957
1395,379,401,"IGHV4-39","IGLV2-23",0.00971015703307718,0.0026381000111371,0.00279123510413186,0.27168458781362,0.287455197132616
309,268,455,"IGHV3-9","IGKV1-39",0.00247134756424304,0.00214343413338879,0.00363903929362648,0.867313915857605,1.47249190938511
553,331,379,"IGHV1-8","IGLV2-8",0.00233816751934379,0.00139951799078263,0.00160246924020126,0.598553345388788,0.685352622061483
91,329,373,"IGHV1-69","IGLV2-23",0.000633422430114712,0.00229006570887627,0.0025963358948658,3.61538461538462,4.0989010989011
1649,168,514,"IGHV4-61","IGKV1-39",0.013188518231187,0.0013436452776467,0.00411091471851431,0.101879927228623,0.311704063068526
3485,294,364,"IGHV4-39","IGLV2-14",0.0147351063379984,0.0012430764026891,0.00153904697475794,0.0843615494978479,0.104447632711621
2529,219,424,"IGHV5-51","IGLV1-44",0.0176035750083528,0.00152439024390244,0.00295133088317185,0.0865954922894425,0.167655199683669
55,260,365,"IGHV3-15","IGKV2-28",0.000439883870658146,0.00207945102492942,0.00291922932345861,4.72727272727273,6.63636363636364
999,184,426,"IGHV7-4-1","IGLV2-14",0.00422392287852522,0.000777979789438079,0.00180119233859033,0.184184184184184,0.426426426426426
248,478,122,"IGHV3-48","IGLV2-23",0.00172625013921372,0.00332720792961354,0.000849203697516427,1.92741935483871,0.491935483870968
3591,172,425,"IGHV4-59","IGLV2-14",0.0287204178096982,0.00137563683187638,0.00339910263690386,0.0478975215817321,0.118351434140908
889,221,369,"IGHV1-2","IGKV1-39",0.0037588262652742,0.000934421377531605,0.00156018772990571,0.24859392575928,0.415073115860517
436,372,215,"IGHV3-74","IGLV2-23",0.00303485911571444,0.00258937520882058,0.00149654749972157,0.853211009174312,0.493119266055046
732,237,347,"IGHV3-48","IGLV2-14",0.00585445442403206,0.00189549958810874,0.00277526732942503,0.323770491803279,0.474043715846995
984,494,78,"IGHV4-61","IGLV2-23",0.0041605006130819,0.00208870660860006,0.000329795780305273,0.502032520325203,0.0792682926829268
1653,231,338,"IGHV1-18","IGLV2-14",0.0115060140327431,0.00160791847644504,0.00235271188328322,0.139745916515427,0.204476709013914
988,291,251,"IGHV3-23","IGKV3-11",0.00790191389473179,0.00232738557020946,0.00200747002791263,0.294534412955466,0.254048582995951
100,81,437,"IGHV3-30","IGLV1-44",0.000422815102955478,0.000342480233393937,0.00184770199991544,0.81,4.37
43,171,337,"IGHV3-9","IGKV2-30",0.000299309499944315,0.00119027731373204,0.002345751197238,3.97674418604651,7.83720930232558
1654,265,239,"IGHV1-46","IGLV2-14",0.0132285076739741,0.00211944046771652,0.00191149536522358,0.160217654171705,0.144498186215236
244,179,324,"IGHV1-8","IGKV3-11",0.00103166885121137,0.000756839034290305,0.00136992093357575,0.733606557377049,1.32786885245902
37,316,187,"IGHV3-15","IGKV1-9",0.000257545383673015,0.00219957679028845,0.00130164829045551,8.54054054054054,5.05405405405405
672,167,328,"IGHV3-7","IGKV1-39",0.00537458111058681,0.00133564738908928,0.00262330744683404,0.248511904761905,0.488095238095238
153,187,293,"IGHV3-73","IGKV1-39",0.000646907107521881,0.000790664242526743,0.00123884825165955,1.22222222222222,1.91503267973856
1548,325,147,"IGHV5-51","IGKV4-1",0.0107751419979953,0.0022622229646954,0.00102322084864684,0.209948320413437,0.0949612403100775
1007,273,194,"IGHV4-34","IGLV2-14",0.00805387377732279,0.00218342357617589,0.00155159038013964,0.271102284011917,0.192651439920556
347,240,222,"IGHV3-23","IGLV6-57",0.00146716840725551,0.00101475624709315,0.00093864952856116,0.69164265129683,0.639769452449568
658,189,271,"IGHV3-74","IGKV1-39",0.00458013141775253,0.00131556966254594,0.0018863459182537,0.287234042553192,0.411854103343465
677,98,348,"IGHV3-21","IGLV2-14",0.00541457055337391,0.000783793078627242,0.00278326521798245,0.144756277695716,0.514032496307238
552,302,143,"IGHV1-2","IGLV2-23",0.00233393936831424,0.00127690161092554,0.000604625597226333,0.547101449275362,0.259057971014493
727,180,257,"IGHV4-4","IGKV1-39",0.00506041875487248,0.00125292348813899,0.00178889631362067,0.247592847317744,0.353507565337001
435,154,278,"IGHV1-8","IGLV1-44",0.00347908152247807,0.00123167483784281,0.00222341301896299,0.354022988505747,0.639080459770115
301,159,261,"IGHV3-72","IGLV2-14",0.00127267345989599,0.000672276013699209,0.0011035474187138,0.528239202657807,0.867109634551495
359,174,239,"IGHV3-74","IGLV2-8",0.00249888629023277,0.00121115937186769,0.00166360396480677,0.484679665738162,0.665738161559889
328,169,241,"IGHV7-4-1","IGLV2-8",0.00262330744683404,0.00135164316620412,0.00192749114233842,0.515243902439024,0.734756097560976
452,246,160,"IGHV4-59","IGKV1-27",0.00191112426535876,0.00104012515327047,0.000676504164728764,0.54424778761062,0.353982300884956
74,317,87,"IGHV3-73","IGLV2-23",0.00051509076734603,0.00220653747633367,0.000605579685933846,4.28378378378378,1.17567567567568
89,133,262,"IGHV3-73","IGLV2-8",0.000711812081610455,0.00106371917813697,0.00209544680204426,1.49438202247191,2.9438202247191
390,269,119,"IGHV3-7","IGLV2-23",0.00164897890152636,0.00113737262695023,0.000503149972517018,0.68974358974359,0.305128205128205
102,136,250,"IGHV3-15","IGLV1-47",0.000709989976612095,0.00094665330214946,0.00174017151130415,1.33333333333333,2.45098039215686
122,183,198,"IGHV3-15","IGKV3-11",0.000975742404005343,0.00146361360600801,0.00158358193436933,1.5,1.62295081967213
1187,128,247,"IGHV5-51","IGLV1-40",0.00501881527208152,0.000541203331783011,0.00104435330430003,0.107834877843302,0.208087615838248
90,299,71,"IGHV3-23","IGKV2-29",0.000626461744069496,0.00208124512751977,0.00049420870921038,3.32222222222222,0.788888888888889
1313,141,227,"IGHV3-23","IGKV1-5",0.0105012276758936,0.00112770228659634,0.00181552070253453,0.107387661843107,0.172886519421173
452,174,192,"IGHV4-4","IGLV2-8",0.00191112426535876,0.000735698279142531,0.000811804997674517,0.384955752212389,0.424778761061947
464,292,69,"IGHV4-4","IGLV2-23",0.00322975832498051,0.00203252032520325,0.000480287337119947,0.629310344827586,0.148706896551724
171,165,195,"IGHV3-15","IGKV1-5",0.00136763894331896,0.00131965161197444,0.00155958826869706,0.964912280701754,1.14035087719298
53,133,223,"IGHV3-15","IGLV2-11",0.000224092004566403,0.000562344086930785,0.000942877679590715,2.50943396226415,4.20754716981132
227,122,227,"IGHV5-10-1","IGLV2-14",0.00158007573226417,0.000849203697516427,0.00158007573226417,0.537444933920705,1
207,150,194,"IGHV3-9","IGLV2-8",0.00165556293138611,0.00119968328361313,0.00155159038013964,0.72463768115942,0.93719806763285
656,87,251,"IGHV5-51","IGLV6-57",0.00277366707538793,0.000367849139571265,0.00106126590841825,0.132621951219512,0.382621951219512
1083,112,217,"IGHV1-18","IGKV1-39",0.0075384229869696,0.000779596837064261,0.00151046887181201,0.103416435826408,0.200369344413666
78,271,55,"IGHV3-15","IGKV3-20",0.000623835307478826,0.00216742779906105,0.000439883870658146,3.47435897435897,0.705128205128205
314,192,133,"IGHV3-23","IGLV1-51",0.0013276394232802,0.000811804997674517,0.000562344086930785,0.611464968152866,0.423566878980892
512,194,127,"IGHV3-23","IGLV2-11",0.00356387125515091,0.00135037309277202,0.00088400712774251,0.37890625,0.248046875
1289,148,171,"IGHV4-39","IGLV2-8",0.0103092783505155,0.00118368750649828,0.00136763894331896,0.114817688130334,0.132660977501939
912,127,191,"IGHV3-23","IGLV1-47",0.00385607373895396,0.000536975180753457,0.000807576846644962,0.139254385964912,0.209429824561404
371,111,202,"IGHV4-34","IGLV2-23",0.00258241452277536,0.000772636151019044,0.00140605858113376,0.299191374663073,0.544474393530997
692,205,107,"IGHV3-23","IGLV1-40",0.00553453888173522,0.00163956715427127,0.00085577407564403,0.296242774566474,0.154624277456647
383,147,161,"IGHV1-8","IGKV1-5",0.00161938184431948,0.000621538201344552,0.000680732315758319,0.383812010443864,0.420365535248042
2352,96,211,"IGHV4-39","IGKV1-39",0.0163715335783495,0.000668225860340795,0.00146870475554071,0.0408163265306122,0.0897108843537415
1978,86,221,"IGHV4-30-4","IGLV2-14",0.0158198235665784,0.000687818415938192,0.00176753337119001,0.0434782608695652,0.111729019211325
188,93,214,"IGHV4-34","IGKV3-11",0.000794892393556298,0.000393218045748594,0.000904824320324722,0.49468085106383,1.13829787234043
57,211,83,"IGHV3-11","IGLV2-23",0.000396759104577347,0.00146870475554071,0.000577736941752979,3.70175438596491,1.45614035087719
27,135,156,"IGHV3-73","IGLV1-40",0.000215942991050363,0.00107971495525181,0.00124767061495765,5,5.77777777777778
610,136,148,"IGHV3-23","IGKV1-27",0.00257917212802841,0.00057502854001945,0.000625766352374107,0.222950819672131,0.242622950819672
450,167,117,"IGHV3-23","IGKV2-30",0.00313230872034748,0.00116243456955118,0.000814400267290344,0.371111111111111,0.26
