5 11057 P2_cm
5 10134 P3_wt
4 961 P2_wt
4 934 P2_wt
4 9014 P3_cm
4 7329 P2_wt
4 7192 P3_cm
4 7117 P2_wt
4 6909 P3_wt
4 6635 P2_cm
4 6632 P3_cm
4 6137 P3_wt
4 5903 P3_cm
4 5540 P2_cm
4 435 P2_cm
4 3962 P3_wt
4 3571 P2_wt
4 3287 P2_wt
4 3167 P3_wt
4 295 P2_wt
4 27876 P3_wt
4 27784 P3_cm
4 27713 P3_cm
4 27131 P2_wt
4 26263 P3_cm
4 26017 P2_wt
4 25829 P3_wt
4 25728 P3_cm
4 25722 P3_wt
4 25336 P3_cm
4 24908 P3_wt
4 2479 P3_cm
4 24485 P3_cm
4 23702 P3_wt
4 23375 P2_cm
4 23154 P2_cm
4 22573 P3_cm
4 22564 P3_cm
4 22503 P3_cm
4 22473 P3_cm
4 22276 P3_cm
4 21827 P2_cm
4 21170 P2_cm
4 20320 P2_cm
4 20255 P2_cm
4 20155 P2_cm
4 1999 P3_cm
4 19818 P2_wt
4 19706 P3_cm
4 18780 P3_cm
4 18343 P3_cm
4 18022 P2_cm
4 17627 P3_wt
4 16880 P2_wt
4 16326 P2_cm
4 16254 P2_wt
4 16138 P2_cm
4 1600 P2_wt
4 15571 P3_wt
4 15249 P3_cm
4 15129 P2_cm
4 15030 P2_cm
4 15010 P3_wt
4 1490 P3_cm
4 14736 P2_cm
4 14586 P3_cm
4 13633 P2_wt
4 13520 P3_cm
4 13414 P2_cm
4 13279 P2_cm
4 1319 P2_wt
4 13129 P2_cm
4 1290 P3_cm
4 1290 P2_wt
4 12772 P2_cm
4 12552 P2_cm
4 12364 P2_wt
4 12280 P2_wt
4 1076 P2_wt
4 10685 P2_cm
4 10334 P3_cm
4 10143 P2_cm
3 9819 P3_wt
3 9819 P2_wt
3 9198 P3_cm
3 8271 P2_wt
3 8039 P2_wt
3 7384 P3_cm
3 7384 P2_cm
3 7282 P2_cm
3 7192 P3_wt
3 6145 P2_wt
3 6137 P2_cm
3 5600 P2_wt
3 5540 P3_wt
3 4772 P3_wt
3 4772 P2_cm
3 4675 P3_wt
3 4675 P2_wt
3 4545 P3_wt
3 4545 P2_wt
3 441 P2_wt
3 432 P3_cm
3 432 P2_cm
3 41877 P3_cm
3 41693 P2_cm
3 41596 P2_cm
3 41259 P3_cm
3 41116 P3_cm
3 40858 P3_wt
3 40270 P2_wt
3 40047 P3_cm
3 39894 P2_cm
3 39805 P3_cm
3 39692 P2_cm
3 39440 P3_cm
3 38556 P2_cm
3 38456 P2_wt
3 38152 P3_cm
3 3804 P3_wt
3 37877 P2_wt
3 37839 P3_wt
3 37835 P2_cm
3 375 P2_cm
3 37464 P2_cm
3 36876 P3_wt
3 36734 P3_cm
3 36632 P2_cm
3 36533 P2_wt
3 35847 P2_wt
3 35846 P2_cm
3 35738 P2_cm
3 35345 P3_cm
3 35315 P3_cm
3 35266 P2_cm
3 35049 P2_wt
3 34806 P2_cm
3 34724 P2_cm
3 34321 P3_cm
3 34274 P3_cm
3 34208 P2_cm
3 34203 P2_cm
3 34184 P2_cm
3 34177 P2_cm
3 33994 P2_cm
3 33952 P2_cm
3 33785 P2_cm
3 33642 P3_wt
3 32367 P2_wt
3 32259 P2_wt
3 30603 P2_wt
3 30472 P3_wt
3 29960 P3_wt
3 29366 P2_wt
3 29234 P3_wt
3 29091 P3_cm
3 28687 P3_cm
3 28448 P2_cm
3 28365 P3_wt
3 28028 P3_wt
3 27860 P2_cm
3 27603 P2_cm
3 27451 P3_wt
3 27362 P3_wt
3 27075 P2_cm
3 2705 P2_cm
3 26546 P3_wt
3 26411 P2_wt
3 26112 P2_cm
3 25707 P3_cm
3 25556 P3_cm
3 24966 P2_cm
3 24795 P3_wt
3 24718 P2_cm
3 2442 P3_cm
3 2382 P2_wt
3 23813 P2_wt
3 23390 P2_cm
3 23287 P0_Ab
3 23239 P3_cm
3 23135 P2_wt
3 22518 P2_wt
3 21744 P2_wt
3 21332 P3_cm
3 21046 P3_cm
3 20651 P2_cm
3 20640 P3_cm
3 20481 P2_cm
3 19847 P2_cm
3 19246 P3_wt
3 18991 P3_cm
3 18294 P2_wt
3 17722 P2_cm
3 17516 P3_wt
3 17401 P3_wt
3 17316 P2_cm
3 16484 P3_cm
3 16484 P2_cm
3 16415 P2_wt
3 15371 P3_wt
3 15179 P3_cm
3 15179 P2_cm
3 15162 P2_wt
3 15126 P2_wt
3 15126 P2_cm
3 1490 P2_wt
3 14694 P2_cm
3 14629 P2_wt
3 13778 P3_cm
3 13778 P2_cm
3 13481 P3_wt
3 13422 P3_wt
3 13296 P2_cm
3 12393 P2_wt
3 12393 P2_cm
3 12364 P3_wt
3 12280 P2_cm
3 11816 P3_cm
3 11263 P2_cm
3 10970 P3_wt
3 10970 P2_cm
3 1076 P2_cm
3 10685 P2_wt
3 10334 P2_cm
3 10134 P3_cm
2 9957 P2_wt
2 9819 P2_cm
2 9722 P3_cm
2 916 P3_cm
2 903 P2_wt
2 8689 P3_wt
2 8689 P3_cm
2 80824 P2_cm
2 80626 P3_cm
