65 P2_wt 16
65 P3_cm 237
65 P3_wt 147
66 P2_cm 25
66 P2_wt 16
66 P3_cm 158
66 P3_wt 245
67 P2_cm 60
67 P2_wt 9
67 P3_cm 288
67 P3_wt 84
68 P2_cm 20
68 P2_wt 22
68 P3_cm 265
68 P3_wt 127
69 P2_cm 22
69 P2_wt 45
69 P3_cm 127
69 P3_wt 233
70 P2_cm 38
70 P2_wt 27
70 P3_cm 108
70 P3_wt 253
71 P3_cm 417
71 P2_cm 1
71 P2_wt 1
72 P2_cm 47
72 P2_wt 33
72 P3_cm 103
72 P3_wt 230
73 P2_cm 37
73 P2_wt 38
73 P3_cm 86
73 P3_wt 247
74 P2_cm 31
74 P2_wt 28
74 P3_cm 94
74 P3_wt 252
75 P2_cm 17
75 P2_wt 8
75 P3_cm 215
75 P3_wt 163
76 P2_cm 51
76 P2_wt 80
76 P3_cm 168
76 P3_wt 103
77 P2_cm 6
77 P3_cm 394
77 P3_wt 1
78 P2_cm 79
78 P2_wt 58
78 P3_cm 60
78 P3_wt 200
79 P3_cm 23
79 P3_wt 365
79 P2_wt 1
80 P2_cm 65
80 P2_wt 33
80 P3_cm 205
80 P3_wt 82
81 P2_cm 32
81 P2_wt 12
81 P3_cm 322
81 P3_wt 17
82 P2_cm 63
82 P2_wt 29
82 P3_cm 175
82 P3_wt 108
83 P2_cm 14
83 P2_wt 7
83 P3_cm 46
83 P3_wt 305
84 P2_cm 18
84 P2_wt 23
84 P3_cm 114
84 P3_wt 203
85 P2_cm 7
85 P2_wt 86
85 P3_cm 22
85 P3_wt 241
86 P2_cm 1
86 P2_wt 18
86 P3_cm 6
86 P3_wt 327
87 P2_cm 10
87 P2_wt 11
87 P3_cm 22
87 P3_wt 307
88 P2_cm 40
88 P2_wt 62
88 P3_cm 65
88 P3_wt 181
88 P0_Ab 1
89 P2_wt 48
89 P3_cm 23
89 P3_wt 271
89 P2_cm 3
90 P2_cm 13
90 P2_wt 1
90 P3_cm 288
90 P3_wt 39
91 P3_cm 19
91 P3_wt 322
92 P2_cm 3
92 P3_cm 331
92 P3_wt 1
93 P2_cm 48
93 P2_wt 14
93 P3_cm 239
93 P3_wt 31
94 P2_cm 43
94 P2_wt 21
94 P3_cm 184
94 P3_wt 79
94 P0_Ab 1
95 P2_cm 35
95 P2_wt 25
95 P3_cm 78
95 P3_wt 189
96 P2_cm 31
96 P2_wt 26
96 P3_cm 116
96 P3_wt 151
97 P2_cm 15
97 P2_wt 35
97 P3_cm 53
97 P3_wt 220
98 P2_cm 46
98 P2_wt 15
98 P3_cm 145
98 P3_wt 115
99 P2_cm 27
99 P2_wt 6
99 P3_cm 178
99 P3_wt 107
100 P2_cm 17
100 P2_wt 14
100 P3_cm 154
100 P3_wt 131
101 P2_cm 44
101 P2_wt 24
101 P3_cm 195
101 P3_wt 52
102 P2_cm 29
102 P2_wt 4
102 P3_cm 194
102 P3_wt 88
103 P2_cm 36
103 P2_wt 25
103 P3_cm 61
103 P3_wt 192
104 P2_cm 13
104 P2_wt 9
104 P3_cm 82
104 P3_wt 205
105 P2_cm 21
105 P2_wt 4
105 P3_cm 240
105 P3_wt 43
106 P0_Ab 2
106 P2_cm 21
106 P2_wt 19
106 P3_cm 155
106 P3_wt 110
107 P2_cm 38
107 P2_wt 7
107 P3_cm 213
107 P3_wt 49
108 P2_cm 30
108 P2_wt 24
108 P3_cm 90
108 P3_wt 159
109 P3_cm 300
110 P2_cm 56
110 P2_wt 34
110 P3_cm 95
110 P3_wt 113
110 P0_Ab 1
111 P2_cm 77
111 P2_wt 22
111 P3_cm 179
111 P3_wt 21
112 P2_cm 18
112 P2_wt 12
112 P3_cm 89
112 P3_wt 179
113 P2_cm 24
113 P2_wt 17
113 P3_cm 212
113 P3_wt 40
114 P2_wt 31
114 P3_cm 13
114 P3_wt 248
115 P3_cm 291
115 P3_wt 1
116 P3_cm 18
116 P3_wt 272
116 P2_wt 1
117 P2_cm 3
117 P2_wt 22
117 P3_cm 60
117 P3_wt 206
118 P2_cm 96
118 P2_wt 47
118 P3_cm 116
118 P3_wt 29
119 P2_cm 40
119 P2_wt 35
119 P3_cm 60
119 P3_wt 153
120 P2_cm 67
120 P2_wt 26
120 P3_cm 155
120 P3_wt 39
121 P3_cm 280
122 P2_cm 69
122 P2_wt 28
122 P3_cm 73
122 P3_wt 106
122 P0_Ab 1
123 P3_cm 272
124 P2_cm 9
124 P2_wt 40
124 P3_cm 30
124 P3_wt 192
125 P2_cm 77
125 P2_wt 7
125 P3_cm 158
125 P3_wt 28
126 P2_cm 24
126 P2_wt 28
126 P3_cm 23
126 P3_wt 193
127 P2_cm 10
127 P2_wt 20
127 P3_cm 9
127 P3_wt 225
128 P2_cm 2
128 P3_cm 261
128 P3_wt 1
129 P2_cm 15
129 P2_wt 25
129 P3_cm 39
129 P3_wt 183
130 P2_cm 13
130 P2_wt 27
130 P3_cm 51
130 P3_wt 169
131 P0_Ab 1
131 P2_cm 7
131 P2_wt 55
131 P3_cm 59
131 P3_wt 137
132 P2_cm 16
132 P2_wt 23
132 P3_cm 14
132 P3_wt 204
133 P2_cm 24
133 P2_wt 8
133 P3_cm 114
133 P3_wt 111
134 P2_cm 34
134 P2_wt 7
134 P3_cm 175
134 P3_wt 40
135 P2_cm 4
135 P2_wt 43
135 P3_cm 7
135 P3_wt 201
136 P2_cm 24
136 P2_wt 16
136 P3_cm 104
136 P3_wt 109
137 P2_cm 5
137 P2_wt 14
137 P3_cm 28
137 P3_wt 203
138 P2_cm 26
138 P2_wt 25
138 P3_cm 137
138 P3_wt 61
139 P2_cm 17
139 P2_wt 36
139 P3_cm 122
139 P3_wt 73
140 P2_cm 23
140 P2_wt 31
140 P3_cm 86
140 P3_wt 107
140 P0_Ab 1
141 P2_cm 35
141 P2_wt 32
141 P3_cm 40
141 P3_wt 140
142 P2_cm 9
142 P2_wt 8
142 P3_cm 170
142 P3_wt 58
143 P2_cm 54
143 P2_wt 22
143 P3_cm 150
143 P3_wt 17
144 P2_cm 48
144 P2_wt 111
144 P3_cm 31
144 P3_wt 52
145 P2_cm 1
145 P2_wt 70
145 P3_wt 170
145 P3_cm 1
146 P2_cm 39
146 P2_wt 20
146 P3_cm 127
146 P3_wt 56
147 P2_cm 48
147 P2_wt 6
147 P3_cm 164
147 P3_wt 23
148 P2_cm 15
148 P2_wt 6
148 P3_cm 50
148 P3_wt 169
149 P2_cm 16
149 P2_wt 13
149 P3_cm 145
149 P3_wt 65
150 P2_cm 30
150 P2_wt 24
150 P3_cm 34
150 P3_wt 151
151 P2_cm 62
151 P2_wt 39
151 P3_cm 83
151 P3_wt 54
152 P2_cm 2
152 P2_wt 1
152 P3_cm 233
153 P2_cm 11
153 P2_wt 13
153 P3_cm 25
153 P3_wt 182
154 P2_cm 20
154 P2_wt 11
154 P3_cm 92
154 P3_wt 108
155 P2_cm 14
155 P2_wt 5
155 P3_cm 176
155 P3_wt 35
156 P2_wt 1
156 P3_cm 178
156 P3_wt 51
157 P2_cm 6
157 P2_wt 8
157 P3_cm 125
157 P3_wt 90
158 P2_cm 13
158 P2_wt 34
158 P3_cm 62
158 P3_wt 120
159 P2_cm 10
159 P3_cm 107
159 P3_wt 110
159 P2_wt 1
160 P2_cm 13
160 P2_wt 5
160 P3_cm 79
160 P3_wt 128
161 P2_cm 64
161 P2_wt 36
161 P3_cm 71
161 P3_wt 54
162 P0_Ab 1
162 P2_cm 17
162 P2_wt 23
162 P3_cm 89
162 P3_wt 95
163 P2_cm 30
163 P2_wt 13
163 P3_cm 76
163 P3_wt 103
164 P0_Ab 1
164 P2_cm 36
164 P2_wt 23
164 P3_cm 56
164 P3_wt 106
165 P2_cm 17
165 P2_wt 34
165 P3_cm 18
165 P3_wt 152
166 P2_cm 19
166 P2_wt 31
166 P3_cm 25
166 P3_wt 146
167 P2_cm 4
167 P2_wt 2
167 P3_cm 215
168 P2_cm 17
168 P2_wt 4
168 P3_cm 62
168 P3_wt 138
169 P2_cm 23
169 P2_wt 13
169 P3_cm 136
169 P3_wt 47
170 P2_wt 1
170 P3_cm 43
170 P3_wt 175
171 P0_Ab 1
171 P2_cm 17
171 P2_wt 64
171 P3_cm 21
171 P3_wt 115
172 P2_cm 29
172 P2_wt 45
172 P3_cm 91
172 P3_wt 52
173 P2_cm 20
173 P2_wt 8
173 P3_cm 60
173 P3_wt 128
174 P2_cm 18
174 P2_wt 14
174 P3_cm 20
174 P3_wt 164
175 P2_cm 45
175 P2_wt 13
175 P3_cm 148
175 P3_wt 9
176 P2_cm 32
176 P2_wt 8
176 P3_cm 134
176 P3_wt 41
177 P2_cm 6
177 P2_wt 7
177 P3_cm 85
177 P3_wt 115
178 P2_cm 20
178 P2_wt 4
178 P3_cm 165
178 P3_wt 23
179 P2_cm 38
179 P2_wt 48
179 P3_cm 87
179 P3_wt 38
180 P2_cm 5
180 P2_wt 9
180 P3_cm 7
180 P3_wt 189
181 P2_cm 63
181 P2_wt 8
181 P3_cm 130
181 P3_wt 5
181 P0_Ab 1
182 P2_cm 62
182 P2_wt 35
182 P3_cm 70
182 P3_wt 38
182 P0_Ab 1
183 P2_cm 75
183 P2_wt 17
183 P3_cm 82
183 P3_wt 32
184 P3_cm 204
184 P2_cm 1
185 P2_cm 11
185 P2_wt 15
185 P3_cm 16
185 P3_wt 160
186 P2_cm 35
186 P2_wt 18
186 P3_cm 25
186 P3_wt 124
187 P2_cm 22
187 P2_wt 3
187 P3_cm 106
187 P3_wt 70
188 P2_cm 56
188 P2_wt 13
188 P3_cm 105
188 P3_wt 24
188 P0_Ab 1
189 P2_cm 33
189 P2_wt 36
189 P3_cm 76
189 P3_wt 54
190 P2_wt 3
190 P3_cm 39
190 P3_wt 156
191 P2_cm 20
191 P2_wt 17
191 P3_cm 39
191 P3_wt 121
192 P2_cm 30
192 P2_wt 15
192 P3_cm 114
192 P3_wt 38
193 P2_wt 5
193 P3_cm 40
193 P3_wt 152
194 P0_Ab 1
194 P2_cm 36
194 P2_wt 23
194 P3_cm 84
194 P3_wt 52
195 P2_cm 50
195 P2_wt 47
195 P3_cm 49
195 P3_wt 50
196 P2_cm 3
196 P2_wt 1
196 P3_cm 189
196 P3_wt 2
197 P3_cm 194
197 P2_cm 1
198 P2_cm 17
198 P2_wt 23
198 P3_cm 52
198 P3_wt 103
199 P2_cm 31
199 P3_cm 114
199 P3_wt 43
199 P2_wt 6
200 P2_cm 54
200 P2_wt 42
200 P3_cm 50
200 P3_wt 47
201 P2_cm 58
201 P2_wt 15
201 P3_cm 105
201 P3_wt 15
202 P2_cm 14
202 P2_wt 16
202 P3_cm 57
202 P3_wt 105
203 P2_cm 18
203 P2_wt 51
203 P3_cm 12
203 P3_wt 111
204 P2_cm 57
204 P2_wt 68
204 P3_cm 32
204 P3_wt 34
205 P2_cm 45
205 P2_wt 9
205 P3_cm 118
205 P3_wt 19
206 P2_cm 26
206 P2_wt 5
206 P3_cm 150
206 P3_wt 10
207 P2_cm 7
207 P2_wt 15
207 P3_cm 34
207 P3_wt 134
208 P2_cm 16
208 P2_wt 13
208 P3_cm 33
208 P3_wt 128
209 P3_cm 40
209 P3_wt 150
210 P2_cm 11
210 P2_wt 6
210 P3_cm 155
210 P3_wt 18
211 P2_wt 29
211 P3_cm 3
211 P3_wt 158
212 P2_cm 30
212 P2_wt 49
212 P3_cm 32
212 P3_wt 78
213 P2_cm 11
213 P2_wt 7
213 P3_cm 78
213 P3_wt 92
214 P0_Ab 1
214 P2_cm 4
214 P2_wt 11
214 P3_cm 23
214 P3_wt 149
215 P2_cm 40
215 P2_wt 7
215 P3_cm 106
215 P3_wt 32
216 P2_wt 3
216 P3_cm 35
216 P3_wt 145
216 P2_cm 1
217 P2_cm 49
217 P2_wt 7
217 P3_cm 121
217 P3_wt 6
218 P2_cm 21
218 P2_wt 15
218 P3_cm 47
218 P3_wt 100
219 P2_cm 52
219 P2_wt 55
219 P3_cm 50
219 P3_wt 26
220 P2_cm 31
220 P2_wt 32
220 P3_cm 65
220 P3_wt 54
221 P0_Ab 1
221 P2_cm 7
221 P2_wt 47
221 P3_cm 42
221 P3_wt 84
222 P2_cm 10
222 P2_wt 4
222 P3_cm 54
222 P3_wt 113
223 P2_cm 22
223 P2_wt 30
223 P3_cm 10
223 P3_wt 118
224 P2_cm 36
224 P2_wt 64
224 P3_cm 33
224 P3_wt 46
225 P2_cm 6
225 P2_wt 38
225 P3_cm 4
225 P3_wt 131
226 P2_cm 5
226 P2_wt 15
226 P3_cm 58
226 P3_wt 101
227 P2_cm 19
227 P2_wt 29
227 P3_cm 35
227 P3_wt 95
228 P2_cm 14
228 P2_wt 8
228 P3_cm 87
228 P3_wt 68
229 P2_cm 4
229 P2_wt 84
229 P3_wt 85
229 P3_cm 4
230 P2_cm 13
230 P2_wt 12
230 P3_cm 76
230 P3_wt 75
231 P2_cm 23
231 P2_wt 22
231 P3_cm 24
231 P3_wt 107
232 P3_cm 4
232 P3_wt 170
232 P2_wt 1
233 P2_cm 15
233 P2_wt 14
233 P3_cm 100
233 P3_wt 46
234 P2_cm 20
234 P2_wt 10
234 P3_cm 80
234 P3_wt 65
235 P0_Ab 13
235 P2_cm 23
235 P2_wt 32
235 P3_cm 77
235 P3_wt 29
236 P2_cm 16
236 P2_wt 12
236 P3_cm 120
236 P3_wt 25
237 P2_cm 26
237 P2_wt 17
237 P3_cm 76
237 P3_wt 54
238 P2_cm 35
238 P2_wt 65
238 P3_cm 24
238 P3_wt 48
239 P2_cm 5
239 P3_cm 63
239 P3_wt 101
239 P2_wt 1
240 P2_cm 1
240 P3_cm 9
240 P3_wt 158
240 P2_wt 1
241 P2_cm 6
241 P2_wt 20
241 P3_cm 3
241 P3_wt 140
242 P2_cm 18
242 P2_wt 18
242 P3_cm 51
242 P3_wt 82
243 P2_cm 2
243 P2_wt 150
243 P3_cm 2
243 P3_wt 15
244 P2_cm 11
244 P2_wt 10
244 P3_cm 28
244 P3_wt 119
245 P2_cm 16
245 P3_cm 66
245 P3_wt 84
245 P2_wt 1
246 P2_cm 43
246 P2_wt 9
246 P3_cm 99
246 P3_wt 16
247 P2_cm 8
247 P2_wt 13
247 P3_cm 47
247 P3_wt 99
248 P2_cm 28
248 P2_wt 8
248 P3_cm 77
248 P3_wt 54
249 P2_cm 5
249 P3_cm 22
249 P3_wt 133
249 P2_wt 6
250 P2_cm 20
250 P2_wt 4
250 P3_cm 65
250 P3_wt 75
251 P2_cm 2
251 P2_wt 3
251 P3_cm 8
251 P3_wt 151
252 P2_cm 38
252 P2_wt 64
252 P3_cm 32
252 P3_wt 29
253 P3_cm 162
253 P3_wt 1
254 P2_cm 20
254 P2_wt 46
254 P3_cm 52
254 P3_wt 43
255 P2_wt 25
255 P3_cm 7
255 P3_wt 127
255 P2_cm 2
256 P2_cm 12
256 P2_wt 5
256 P3_cm 122
256 P3_wt 21
257 P2_cm 30
257 P2_wt 8
257 P3_cm 80
257 P3_wt 42
258 P2_cm 36
258 P2_wt 28
258 P3_cm 40
258 P3_wt 56
259 P2_cm 33
259 P2_wt 8
259 P3_cm 104
259 P3_wt 15
260 P2_cm 7
260 P2_wt 12
260 P3_cm 26
260 P3_wt 114
261 P2_cm 14
261 P2_wt 2
261 P3_cm 86
261 P3_wt 57
262 P2_cm 7
262 P3_cm 67
262 P3_wt 76
262 P2_wt 8
263 P2_cm 38
263 P2_wt 15
263 P3_cm 99
263 P3_wt 6
264 P2_cm 53
264 P2_wt 3
264 P3_cm 86
264 P3_wt 15
265 P2_cm 12
265 P2_wt 2
265 P3_cm 104
265 P3_wt 38
266 P2_cm 37
266 P2_wt 13
266 P3_cm 36
266 P3_wt 70
267 P2_cm 38
267 P2_wt 12
267 P3_cm 74
267 P3_wt 31
268 P2_wt 39
268 P3_wt 116
269 P2_cm 26
269 P2_wt 18
269 P3_cm 24
269 P3_wt 85
270 P2_cm 26
270 P2_wt 1
270 P3_cm 100
270 P3_wt 26
271 P2_cm 34
271 P2_wt 8
271 P3_cm 73
271 P3_wt 38
272 P0_Ab 2
272 P2_cm 12
272 P2_wt 7
272 P3_cm 116
272 P3_wt 16
273 P2_cm 17
273 P2_wt 8
273 P3_cm 48
273 P3_wt 80
274 P2_cm 8
274 P2_wt 96
274 P3_cm 5
274 P3_wt 43
275 P2_cm 8
275 P2_wt 17
275 P3_cm 22
275 P3_wt 105
276 P2_cm 2
276 P3_cm 150
277 P2_cm 31
277 P2_wt 5
277 P3_cm 101
277 P3_wt 14
278 P3_cm 5
278 P3_wt 146
279 P2_cm 18
279 P2_wt 28
279 P3_cm 49
279 P3_wt 56
280 P2_cm 10
280 P2_wt 38
280 P3_cm 38
280 P3_wt 65
281 P2_cm 31
281 P2_wt 28
281 P3_cm 20
281 P3_wt 71
282 P2_cm 3
282 P3_cm 147
283 P2_cm 10
283 P2_wt 4
283 P3_cm 24
283 P3_wt 112
284 P2_cm 5
284 P2_wt 19
284 P3_cm 7
284 P3_wt 118
285 P2_cm 11
285 P2_wt 20
285 P3_cm 57
285 P3_wt 61
286 P2_cm 1
286 P3_cm 148
287 P2_cm 14
287 P2_wt 12
287 P3_cm 75
287 P3_wt 48
288 P2_cm 11
288 P2_wt 20
288 P3_cm 19
288 P3_wt 98
289 P2_cm 79
289 P3_cm 64
289 P3_wt 4
289 P2_wt 1
290 P2_cm 42
290 P2_wt 39
290 P3_cm 55
290 P3_wt 11
291 P2_cm 2
291 P2_wt 2
291 P3_cm 75
291 P3_wt 68
292 P2_cm 33
292 P2_wt 23
292 P3_cm 15
292 P3_wt 76
293 P2_cm 13
293 P2_wt 11
293 P3_cm 57
293 P3_wt 66
294 P2_cm 41
294 P2_wt 11
294 P3_cm 74
294 P3_wt 21
295 P2_cm 29
295 P2_wt 4
295 P3_cm 85
295 P3_wt 29
296 P0_Ab 1
296 P2_cm 66
296 P2_wt 34
296 P3_cm 25
296 P3_wt 21
297 P2_cm 12
297 P2_wt 8
297 P3_cm 106
297 P3_wt 21
298 P2_cm 4
298 P2_wt 18
298 P3_cm 17
298 P3_wt 107
299 P2_cm 14
299 P2_wt 21
299 P3_cm 14
299 P3_wt 97
300 P2_cm 3
300 P2_wt 4
300 P3_cm 9
300 P3_wt 130
301 P2_cm 17
301 P2_wt 6
301 P3_cm 69
301 P3_wt 53
302 P2_wt 20
302 P3_wt 125
303 P2_cm 2
303 P2_wt 14
303 P3_cm 18
303 P3_wt 111
304 P2_cm 9
304 P2_wt 11
304 P3_cm 64
304 P3_wt 60
305 P2_cm 6
305 P3_cm 67
305 P3_wt 70
305 P2_wt 1
306 P2_wt 8
306 P3_cm 5
306 P3_wt 129
306 P2_cm 2
307 P2_cm 6
307 P2_wt 67
307 P3_cm 6
307 P3_wt 64
308 P2_cm 13
308 P2_wt 10
308 P3_cm 79
308 P3_wt 41
309 P2_cm 23
309 P2_wt 3
309 P3_cm 99
309 P3_wt 18
310 P2_cm 20
310 P2_wt 54
310 P3_cm 5
310 P3_wt 63
310 P0_Ab 1
311 P2_cm 23
311 P2_wt 8
311 P3_cm 96
311 P3_wt 15
312 P2_cm 74
312 P2_wt 29
312 P3_cm 28
312 P3_wt 11
313 P2_cm 21
313 P2_wt 8
313 P3_cm 85
313 P3_wt 28
314 P2_cm 4
314 P2_wt 57
314 P3_cm 3
314 P3_wt 77
314 P0_Ab 1
315 P2_cm 18
315 P2_wt 18
315 P3_cm 72
315 P3_wt 34
316 P2_cm 7
316 P2_wt 84
316 P3_wt 50
317 P2_cm 24
317 P2_wt 8
317 P3_cm 91
317 P3_wt 18
318 P2_cm 12
318 P2_wt 24
318 P3_cm 42
318 P3_wt 63
319 P2_cm 25
319 P2_wt 4
319 P3_cm 96
319 P3_wt 16
320 P2_cm 29
320 P2_wt 6
320 P3_cm 71
320 P3_wt 34
321 P2_cm 18
321 P2_wt 9
321 P3_cm 74
321 P3_wt 39
322 P2_wt 23
322 P3_cm 2
322 P3_wt 115
323 P2_cm 36
323 P2_wt 6
323 P3_cm 92
323 P3_wt 5
324 P2_cm 11
324 P2_wt 5
324 P3_cm 52
324 P3_wt 71
325 P2_cm 4
325 P2_wt 10
325 P3_cm 16
325 P3_wt 109
326 P2_cm 3
326 P2_wt 13
326 P3_cm 3
326 P3_wt 119
327 P2_cm 8
327 P2_wt 4
327 P3_cm 59
327 P3_wt 67
328 P2_cm 3
328 P2_wt 2
328 P3_cm 80
328 P3_wt 51
329 P2_cm 3
329 P2_wt 20
329 P3_cm 26
329 P3_wt 87
330 P2_cm 6
330 P3_cm 116
330 P3_wt 12
330 P2_wt 1
331 P2_cm 29
331 P2_wt 15
331 P3_cm 72
331 P3_wt 19
332 P2_cm 8
332 P2_wt 5
332 P3_cm 63
332 P3_wt 58
333 P2_cm 16
333 P2_wt 11
333 P3_cm 52
333 P3_wt 55
334 P2_cm 2
334 P2_wt 50
334 P3_cm 8
334 P3_wt 74
335 P2_cm 6
335 P2_wt 7
335 P3_cm 58
335 P3_wt 62
336 P2_cm 30
336 P3_cm 101
336 P3_wt 2
337 P2_cm 15
337 P2_wt 27
337 P3_cm 26
337 P3_wt 65
338 P2_cm 25
338 P2_wt 6
338 P3_cm 52
338 P3_wt 50
