38 1666 P3_cm
38 1103 P3_wt
37 942 P3_wt
37 864 P2_cm
37 761 P2_cm
37 576 P3_cm
37 449 P3_cm
37 37 P3_cm
37 353 P2_cm
37 340 P3_wt
37 263 P2_cm
37 252 P2_cm
37 1754 P3_cm
37 1684 P3_cm
37 1665 P3_cm
37 1297 P3_cm
36 797 P3_wt
36 1813 P3_wt
36 1724 P3_cm
36 1572 P3_wt
36 1544 P3_wt
36 1132 P3_wt
36 1062 P2_wt
35 340 P2_cm
35 216 P3_cm
35 1875 P3_cm
35 1873 P3_cm
35 1859 P3_cm
35 1854 P3_cm
35 1843 P3_wt
35 1639 P3_wt
35 1427 P3_wt
35 1378 P2_wt
35 1130 P3_cm
35 103 P2_cm
34 922 P3_wt
34 870 P3_wt
34 639 P3_wt
34 595 P3_wt
34 320 P3_wt
34 315 P3_wt
34 1967 P3_cm
34 1965 P3_cm
34 1515 P3_wt
33 985 P2_cm
33 812 P3_cm
33 768 P3_cm
33 767 P3_wt
33 762 P3_wt
33 704 P3_wt
33 410 P3_wt
33 22 P2_cm
33 2052 P3_cm
33 2044 P3_wt
33 2008 P3_cm
33 1922 P3_cm
33 1919 P3_wt
33 1461 P3_cm
33 1255 P2_wt
33 1070 P3_cm
33 1028 P3_cm
32 252 P3_cm
32 2128 P3_cm
32 2126 P3_cm
32 1943 P3_cm
32 1374 P2_cm
32 1244 P3_wt
32 1144 P3_cm
32 0 P2_wt
31 888 P3_wt
31 856 P3_wt
31 603 P3_cm
31 2241 P3_cm
31 2216 P3_cm
31 2201 P3_cm
31 2152 P3_cm
31 2083 P3_cm
31 2056 P3_wt
31 2017 P2_wt
31 2003 P2_wt
31 1782 P2_wt
31 16 P2_cm
31 1516 P3_wt
31 1302 P3_cm
30 2329 P3_cm
30 2275 P3_cm
30 2266 P3_cm
30 2255 P3_cm
30 2093 P3_wt
30 1780 P3_wt
30 1778 P3_wt
30 1725 P2_wt
30 1267 P3_cm
30 1127 P3_wt
30 1102 P3_cm
29 954 P3_wt
29 448 P3_wt
29 383 P2_wt
29 252 P3_wt
29 2439 P3_cm
29 2424 P2_wt
